length,liters,model_id,thickness,width
64.0,23.7,1.0,35.0,298.0
65.0,25.1,1.0,36.0,302.0
66.0,26.4,1.0,37.0,304.0
67.0,27.7,1.0,38.0,306.0
68.0,29.2,1.0,39.0,310.0
69.0,30.7,1.0,40.0,314.0
70.0,32.4,1.0,41.0,318.0
71.0,33.8,1.0,42.0,320.0
72.0,35.2,1.0,43.0,322.0
74.0,37.5,1.0,44.0,326.0
76.0,41.0,1.0,46.0,332.0
78.0,37.8,2.0,41.0,328.0
80.0,40.2,2.0,42.0,332.0
82.0,42.3,2.0,43.0,334.0
84.0,44.9,2.0,44.0,338.0
86.0,47.3,2.0,45.0,340.0
90.0,51.8,2.0,46.0,348.0
94.0,57.1,2.0,48.0,352.0
70.0,26.0,3.0,37.0,294.0
72.0,27.8,3.0,38.0,298.0
74.0,29.7,3.0,39.0,302.0
76.0,31.7,3.0,40.0,306.0
78.0,33.7,3.0,41.0,310.0
80.0,35.9,3.0,42.0,314.0
82.0,39.2,3.0,44.0,320.0
84.0,42.8,3.0,46.0,326.0
86.0,46.5,3.0,48.0,332.0
68.0,23.4,4.0,35.0,292.0
69.0,24.6,4.0,36.0,294.0
70.0,26.0,4.0,37.0,298.0
71.0,27.8,4.0,38.0,302.0
72.0,29.3,4.0,39.0,306.0
73.0,30.6,4.0,40.0,308.0
74.0,32.2,4.0,41.0,312.0
75.0,34.1,4.0,42.0,318.0
76.0,36.6,4.0,44.0,322.0
64.0,24.4,5.0,36.0,296.0
65.0,25.8,5.0,37.0,300.0
66.0,27.2,5.0,38.0,304.0
67.0,28.7,5.0,39.0,308.0
68.0,30.3,5.0,40.0,312.0
69.0,31.9,5.0,41.0,316.0
70.0,33.5,5.0,42.0,320.0
71.0,34.4,5.0,42.0,324.0
72.0,37.0,5.0,44.0,328.0
73.0,38.0,5.0,44.0,332.0
74.0,40.7,5.0,46.0,336.0
75.0,41.8,5.0,46.0,340.0
76.0,44.6,5.0,48.0,344.0
78.0,45.9,5.0,48.0,348.0
80.0,47.7,5.0,48.0,352.0
64.0,26.0,6.0,34.0,312.0
66.0,28.3,6.0,35.0,320.0
68.0,31.6,6.0,37.0,328.0
70.0,35.1,6.0,39.0,336.0
72.0,37.3,6.0,40.0,340.0
74.0,39.9,6.0,41.0,344.0
63.0,26.3,7.0,36.0,312.0
65.0,28.6,7.0,37.0,320.0
67.0,31.0,7.0,38.0,328.0
69.0,34.0,7.0,40.0,332.0
71.0,37.2,7.0,42.0,336.0
73.0,40.0,7.0,44.0,340.0
75.0,43.4,7.0,46.0,344.0
64.0,24.2,8.0,35.0,298.0
65.0,25.6,8.0,36.0,302.0
66.0,26.8,8.0,37.0,304.0
67.0,28.1,8.0,38.0,306.0
68.0,29.7,8.0,39.0,310.0
69.0,31.3,8.0,40.0,314.0
70.0,32.9,8.0,41.0,318.0
71.0,34.4,8.0,42.0,320.0
